frame	intra_count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	0
35	0
36	0
37	1
38	2
39	1
40	1
41	0
42	0
43	1
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	1
52	0
53	1
54	0
55	0
56	0
57	0
58	0
59	1
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	1
72	0
73	1
74	0
75	1
76	0
77	0
78	0
79	1
80	1
81	1
82	0
83	0
84	0
85	0
86	0
87	0
88	1
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	1
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	1
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	1
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	1
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	1
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	1
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	1
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	1
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	1
213	1
214	1
215	2
216	2
217	1
218	1
219	2
220	0
221	1
222	1
223	0
224	0
225	0
226	1
227	1
228	0
229	0
230	1
231	0
232	0
233	0
234	1
235	1
236	1
237	0
238	0
239	1
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	2
249	1
250	1
251	3
252	1
253	3
254	2
255	1
256	0
257	2
258	1
259	1
260	0
261	0
262	2
263	0
264	0
265	2
266	0
267	0
268	1
269	0
270	0
271	1
272	0
273	0
274	0
275	1
276	0
277	1
278	3
279	0
280	0
281	1
282	0
283	0
284	1
285	0
286	0
287	0
288	1
289	0
290	0
291	0
292	0
293	1
294	1
295	0
296	1
297	1
298	0
299	0
300	1
301	1
302	2
303	2
304	2
305	0
306	2
307	3
308	4
309	2
310	4
311	2
312	3
313	3
314	1
315	1
316	2
317	2
318	2
319	2
320	1
321	3
322	4
323	2
324	5
325	1
326	1
327	2
328	5
329	3
330	0
331	0
332	0
333	1
334	0
335	1
336	3
337	2
338	1
339	1
340	1
341	1
342	1
343	1
344	2
345	0
346	2
347	1
348	1
349	3
350	2
351	0
352	1
353	0
354	0
355	0
356	1
357	2
358	1
359	2
360	0
361	1
362	0
363	1
364	1
365	0
366	0
367	1
368	1
369	1
370	1
371	0
372	1
373	0
374	0
375	0
376	1
377	0
378	2
379	0
380	1
381	0
382	0
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	1
391	1
392	1
393	0
394	0
395	1
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	1
428	1
429	1
430	2
431	0
432	1
433	1
434	1
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	1
448	0
449	0
450	1
451	0
452	1
453	1
454	0
455	0
456	1
457	1
458	2
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	2
472	1
473	1
474	0
475	3
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	1
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	1
498	1
499	0
500	0
501	1
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	1
511	1
512	0
513	0
514	0
515	0
516	1
517	1
518	0
519	2
520	0
521	1
522	1
523	1
524	1
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	2
534	1
535	1
536	0
537	0
538	0
539	0
540	1
541	1
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
