frame	intra_count
0	0
1	0
2	0
3	0
4	2
5	0
6	0
7	0
8	0
9	1
10	0
11	0
12	0
13	1
14	0
15	0
16	1
17	0
18	0
19	1
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	0
36	0
37	1
38	0
39	0
40	0
41	0
42	1
43	1
44	0
45	2
46	1
47	1
48	0
49	1
50	1
51	1
52	0
53	1
54	2
55	1
56	0
57	1
58	0
59	0
60	0
61	0
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	2
70	0
71	1
72	0
73	1
74	1
75	0
76	0
77	2
78	0
79	1
80	1
81	1
82	0
83	1
84	1
85	0
86	1
87	1
88	2
89	2
90	2
91	0
92	2
93	1
94	1
95	0
96	1
97	1
98	2
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	2
107	2
108	1
109	3
110	2
111	3
112	1
113	1
114	2
115	0
116	3
117	1
118	4
119	2
120	1
121	2
122	0
123	2
124	1
125	0
126	0
127	2
128	3
129	1
130	0
131	2
132	0
133	0
134	0
135	1
136	2
137	0
138	1
139	0
140	0
141	0
142	1
143	0
144	0
145	1
146	0
147	0
148	1
149	1
150	0
151	1
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	1
161	1
162	1
163	4
164	0
165	0
166	1
167	0
168	1
169	1
170	2
171	1
172	1
173	0
174	0
175	2
176	1
177	1
178	1
179	1
180	0
181	0
182	0
183	0
184	1
185	0
186	0
187	0
188	0
189	0
190	1
191	0
192	0
193	1
194	0
195	0
196	1
197	0
198	1
199	0
200	0
201	0
202	1
203	0
204	1
205	1
206	1
207	1
208	0
209	0
210	1
211	0
212	0
213	0
214	1
215	1
216	0
217	0
218	2
219	5
220	0
221	1
222	1
223	0
224	0
225	1
226	2
227	1
228	1
229	1
230	2
231	2
232	1
233	2
234	2
235	1
236	1
237	1
238	1
239	1
240	1
241	2
242	0
243	0
244	3
245	0
246	2
247	0
248	0
249	1
250	2
251	2
252	0
253	0
254	0
255	2
256	1
257	1
258	1
259	1
260	2
261	3
262	2
263	0
264	2
265	3
266	1
267	0
268	2
269	2
270	1
271	0
272	0
273	0
274	0
275	1
276	0
277	1
278	2
279	2
280	0
281	0
282	0
283	1
284	0
285	0
286	1
287	0
288	1
289	0
290	2
291	2
292	0
293	1
294	2
295	0
296	0
297	1
298	0
299	1
300	0
301	0
302	2
303	0
304	2
305	3
306	1
307	2
308	1
309	2
310	2
311	2
312	0
313	1
314	2
315	1
316	1
317	1
318	3
319	1
320	1
321	2
322	0
323	0
324	0
325	0
326	1
327	0
328	0
329	2
330	1
331	0
332	0
333	0
334	1
335	1
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	1
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	0
371	2
372	0
373	1
374	0
375	1
376	1
377	0
378	0
379	1
380	1
381	0
382	0
383	3
384	0
385	1
386	1
387	0
388	1
389	0
390	1
391	0
392	2
393	1
394	3
395	3
396	4
397	0
398	2
399	1
400	1
401	2
402	2
403	1
404	0
405	1
406	2
407	0
408	1
409	1
410	2
411	1
412	2
413	0
414	0
415	1
416	0
417	1
418	1
419	2
420	1
421	1
422	0
423	0
424	3
425	2
426	0
427	0
428	0
429	2
430	1
431	0
432	1
433	0
434	2
435	2
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	1
446	0
447	1
448	0
449	0
450	1
451	0
452	0
453	0
454	1
455	1
456	1
457	0
458	0
459	1
460	1
461	0
462	0
463	0
464	1
465	0
466	0
467	0
468	1
469	1
470	0
471	1
472	0
473	2
474	2
475	0
476	1
477	1
478	0
479	2
480	0
481	0
482	1
483	1
484	1
485	0
486	0
487	0
488	1
489	1
490	0
491	1
492	1
493	0
494	1
495	1
496	1
497	0
498	1
499	1
500	1
501	0
