frame	intra_count
0	38
1	37
2	31
3	42
4	31
5	45
6	42
7	43
8	36
9	40
10	44
11	41
12	41
13	43
14	40
15	40
16	39
17	33
18	37
19	31
20	38
21	44
22	33
23	37
24	38
25	34
26	31
27	32
28	27
29	23
30	33
31	35
32	37
33	46
34	30
35	33
36	34
37	41
38	36
39	34
40	35
41	43
42	46
43	36
44	33
45	33
46	38
47	41
48	38
49	36
50	35
51	40
52	36
53	35
54	33
55	27
56	34
57	33
58	35
59	27
60	31
61	32
62	31
63	35
64	32
65	30
66	23
67	26
68	36
69	22
70	26
71	28
72	28
73	27
74	30
75	27
76	26
77	28
78	35
79	24
80	25
81	27
82	20
83	20
84	29
85	27
86	31
87	31
88	38
89	34
90	33
91	27
92	33
93	24
94	34
95	34
96	39
97	43
98	34
99	31
100	35
101	26
102	37
103	32
104	34
105	33
106	39
107	34
108	39
109	35
110	33
111	32
112	36
113	30
114	34
115	36
116	41
117	36
118	39
119	33
120	42
121	41
122	32
123	29
124	33
125	33
126	39
127	37
128	32
129	37
130	31
131	41
132	31
133	43
134	38
135	34
136	28
137	39
138	37
139	36
140	30
141	35
142	29
143	33
144	26
145	29
146	32
147	36
148	32
149	31
150	40
151	38
152	30
153	30
154	31
155	30
156	32
157	33
158	40
159	31
160	32
161	41
162	38
163	35
164	34
165	35
166	39
167	34
168	43
169	29
170	41
171	27
172	42
173	38
174	37
175	40
176	42
177	34
178	35
179	46
180	40
181	39
182	36
183	30
184	29
185	43
186	40
187	40
188	37
189	37
190	31
191	32
192	38
193	28
194	43
195	32
196	40
197	42
198	32
199	41
200	36
201	33
202	26
203	31
204	38
205	27
206	29
207	25
208	27
209	24
210	31
211	28
212	30
213	34
214	31
215	30
216	28
217	43
218	38
219	28
220	27
221	32
222	33
223	33
224	32
225	31
226	32
227	29
228	26
229	30
230	25
231	32
232	29
233	30
234	28
235	32
236	34
237	33
238	30
239	28
240	26
241	36
242	28
243	35
244	27
245	24
246	35
247	37
248	37
249	38
250	42
251	34
252	39
253	27
254	30
255	34
256	34
257	37
258	29
259	32
260	30
261	29
262	30
263	31
264	35
265	28
266	29
267	28
268	35
269	36
270	34
271	25
272	33
273	29
274	36
275	31
276	30
277	27
278	30
279	23
280	17
281	31
282	25
283	33
284	26
285	26
286	25
287	26
288	33
289	38
290	30
291	30
292	30
293	31
294	24
295	28
296	24
297	29
298	31
299	26
300	31
301	24
302	27
303	22
304	30
305	31
306	30
307	34
308	29
309	33
310	23
311	27
312	25
313	30
314	31
315	28
316	26
317	26
318	31
319	30
320	28
321	38
322	32
323	41
324	38
325	38
326	33
327	30
328	36
329	36
330	34
331	33
332	32
333	39
334	40
335	30
336	37
337	36
338	31
339	28
340	28
341	34
342	34
343	34
344	36
345	32
346	33
347	35
348	35
349	34
350	39
351	29
352	38
353	36
354	42
355	40
356	34
357	29
358	29
359	37
360	33
361	33
362	28
363	27
364	31
365	39
366	30
367	30
368	31
369	34
370	32
371	38
372	32
373	32
374	39
375	31
376	36
377	42
378	35
379	31
380	37
381	33
382	38
383	47
384	34
385	39
386	32
387	32
388	38
389	36
390	36
391	32
392	29
393	40
394	35
395	34
396	38
397	39
398	37
399	36
400	31
401	41
402	33
403	35
404	32
405	36
406	33
407	26
408	33
409	31
410	35
411	29
412	29
413	33
414	32
415	39
416	35
417	29
418	25
419	30
420	33
421	35
422	35
423	33
424	36
425	34
426	29
427	36
428	34
429	29
430	35
431	33
432	32
433	30
434	30
435	26
436	39
437	27
438	27
439	39
440	33
441	32
442	29
443	31
444	26
445	31
446	34
447	31
448	31
449	28
450	24
451	26
452	37
453	35
454	36
455	31
456	40
457	38
458	37
459	38
460	38
461	30
462	39
463	31
464	33
465	35
466	31
467	32
468	31
469	33
470	36
471	39
472	33
473	33
474	36
475	29
476	48
477	44
478	40
479	28
480	34
481	26
482	41
483	31
484	27
485	24
486	41
487	37
488	35
489	33
490	36
491	41
492	35
493	36
494	42
495	46
496	40
497	40
498	38
499	38
500	45
501	45
502	49
503	43
504	36
505	36
506	46
507	39
508	29
509	42
510	36
511	37
512	32
513	37
514	36
515	27
516	42
517	43
518	37
519	39
520	44
521	45
522	38
523	30
524	39
525	35
526	34
527	39
528	47
529	40
530	32
531	35
532	43
533	42
534	38
535	37
536	35
537	39
538	38
539	36
540	30
541	26
542	26
543	38
544	28
545	40
546	37
547	34
548	44
549	42
550	41
551	49
552	36
553	39
554	33
555	41
556	38
557	40
558	44
559	42
560	49
561	33
562	43
563	40
564	51
565	31
566	37
567	44
568	44
569	37
570	42
571	40
572	38
573	45
574	49
575	47
576	42
577	43
578	44
579	43
580	42
581	44
582	43
583	36
584	51
585	46
586	48
587	46
588	43
589	50
590	42
591	45
592	43
593	50
594	43
595	41
596	42
597	45
598	33
599	35
600	44
601	36
602	38
603	43
604	38
605	36
606	41
607	37
608	30
609	36
610	37
611	36
612	32
613	41
614	45
615	34
616	38
617	39
618	37
619	40
620	36
621	36
622	38
623	44
624	41
625	35
626	34
627	48
628	47
629	34
630	42
631	36
632	44
633	36
634	40
635	43
636	40
637	39
638	44
639	45
640	32
641	31
642	33
643	34
644	38
645	36
646	33
647	36
648	41
649	46
650	42
651	40
652	38
653	35
654	42
655	36
656	34
657	38
658	41
659	44
660	36
661	37
662	37
663	41
664	36
665	33
666	37
667	48
668	39
669	29
670	41
671	37
672	39
673	34
674	40
675	38
676	31
677	35
678	31
679	41
680	34
681	38
682	35
683	40
684	41
685	37
686	46
687	42
688	37
689	36
690	42
691	31
692	41
693	36
694	36
695	37
696	39
697	46
698	40
699	48
700	31
701	39
702	33
703	28
704	40
705	33
706	36
707	32
708	40
709	34
710	46
711	38
712	40
713	35
714	52
715	31
716	36
717	33
718	40
719	40
720	35
721	39
722	40
723	40
724	38
725	38
726	39
727	31
728	32
729	37
730	39
731	36
732	39
733	29
734	33
735	40
736	26
737	33
738	44
739	32
740	38
741	37
742	44
743	38
744	41
745	35
746	39
747	33
748	42
749	42
750	41
751	29
752	33
753	32
754	34
755	29
756	38
757	31
758	37
759	35
760	33
761	32
762	27
763	30
764	38
765	32
766	32
767	40
768	36
769	40
770	30
771	32
772	47
773	35
774	44
775	36
776	33
777	38
778	35
779	41
780	37
781	36
782	43
783	37
784	46
785	39
786	33
787	40
788	26
789	27
790	35
791	35
792	39
793	40
794	33
795	35
796	36
797	35
798	34
799	30
800	26
801	37
802	31
803	37
804	38
805	32
806	38
807	28
808	40
809	33
810	31
811	27
812	33
813	32
814	28
815	37
816	37
817	33
818	41
819	33
820	41
821	38
822	31
823	33
824	38
825	26
826	35
827	29
828	32
829	35
830	34
831	35
832	34
833	43
834	37
835	35
836	37
837	31
838	35
839	30
840	36
841	34
842	40
843	41
844	39
845	38
846	30
847	40
848	34
849	35
850	30
851	38
852	38
853	37
854	29
855	32
856	33
857	38
858	38
859	43
860	38
861	32
862	41
863	37
864	33
865	39
866	37
867	37
868	41
869	41
870	42
871	36
872	35
873	34
874	36
875	39
876	40
877	41
878	37
879	30
880	37
881	27
882	37
883	34
884	37
885	40
886	31
887	34
888	31
889	34
890	39
891	38
892	39
893	42
894	35
895	39
896	41
897	45
898	44
899	43
900	33
901	38
902	39
903	36
904	38
905	37
906	32
907	41
908	31
909	31
910	35
911	29
912	38
913	32
914	36
915	33
916	35
917	42
918	42
919	34
920	31
921	34
922	34
923	33
924	41
925	31
926	34
927	32
928	33
929	46
930	28
931	30
932	30
933	33
934	32
935	42
936	32
937	36
938	37
939	40
940	34
941	38
942	38
943	39
944	38
945	42
946	34
947	42
948	28
949	31
950	39
951	45
952	38
953	39
954	33
955	36
956	33
957	34
958	32
959	38
960	33
961	41
962	32
963	38
964	42
965	38
966	35
967	37
968	35
969	39
970	36
971	34
972	37
973	38
974	31
975	44
976	40
977	36
978	37
979	40
980	30
981	33
982	42
983	31
984	36
985	33
986	34
987	38
988	42
989	41
990	39
991	43
992	42
993	39
994	35
995	37
996	41
997	33
998	42
999	29
1000	39
1001	39
1002	45
1003	40
1004	37
1005	41
1006	43
1007	39
1008	37
1009	43
1010	37
1011	33
1012	49
1013	43
1014	42
1015	36
1016	35
1017	37
1018	24
1019	37
1020	42
1021	47
1022	31
1023	36
1024	47
1025	36
1026	41
1027	42
1028	35
1029	41
1030	39
1031	34
1032	37
1033	35
1034	40
1035	35
1036	38
1037	36
1038	33
1039	34
1040	39
1041	40
1042	41
1043	42
1044	43
1045	51
1046	44
1047	42
1048	43
1049	39
1050	40
1051	33
1052	44
1053	42
1054	42
1055	32
1056	45
1057	34
1058	41
1059	38
1060	35
1061	43
1062	38
1063	38
1064	36
1065	41
1066	40
1067	38
1068	37
1069	34
1070	34
1071	45
1072	38
1073	43
1074	40
1075	49
1076	35
1077	39
1078	37
1079	44
1080	45
1081	48
1082	37
1083	42
1084	37
1085	41
1086	40
1087	34
1088	41
1089	34
1090	35
1091	35
1092	42
1093	37
1094	36
1095	39
1096	37
1097	32
1098	38
1099	39
1100	39
1101	33
1102	35
1103	34
1104	42
1105	41
1106	35
1107	36
1108	38
1109	32
1110	34
1111	38
1112	33
1113	38
1114	41
1115	40
1116	33
1117	35
1118	32
1119	43
1120	37
1121	37
1122	40
1123	36
1124	40
1125	33
1126	35
1127	37
1128	32
1129	39
1130	33
1131	30
1132	36
1133	46
1134	29
1135	44
1136	33
1137	35
1138	39
1139	36
1140	38
1141	42
1142	36
1143	40
1144	41
1145	33
1146	32
1147	40
1148	38
1149	42
1150	45
1151	39
1152	38
1153	28
1154	25
1155	38
1156	36
1157	32
1158	39
1159	36
1160	38
1161	37
1162	33
1163	42
1164	43
1165	34
1166	33
1167	31
1168	34
1169	40
1170	37
1171	38
1172	39
1173	42
1174	37
1175	35
1176	39
1177	37
1178	34
1179	28
1180	40
1181	28
1182	42
1183	39
1184	38
1185	46
1186	40
1187	37
1188	35
1189	35
1190	39
1191	43
1192	36
1193	41
1194	41
1195	37
1196	32
1197	35
1198	39
1199	33
1200	24
1201	35
1202	38
1203	34
1204	31
1205	42
1206	37
1207	30
1208	36
1209	38
1210	37
1211	46
1212	34
1213	39
1214	34
1215	36
1216	38
1217	37
1218	34
1219	33
1220	35
1221	37
1222	44
1223	34
1224	36
1225	32
1226	45
1227	45
1228	41
1229	38
1230	42
1231	37
1232	33
1233	51
1234	35
1235	36
1236	36
1237	42
1238	38
1239	35
1240	32
1241	40
1242	38
1243	44
1244	42
1245	43
1246	34
1247	39
1248	44
1249	49
1250	39
1251	36
1252	36
1253	31
1254	36
1255	31
1256	41
1257	38
1258	46
1259	45
1260	36
1261	39
1262	35
1263	46
1264	37
1265	48
1266	36
1267	40
1268	40
1269	43
1270	35
1271	43
1272	49
1273	37
1274	37
1275	31
1276	38
1277	43
1278	38
1279	36
1280	35
1281	38
1282	42
1283	34
1284	38
1285	33
1286	40
1287	43
1288	36
1289	35
1290	40
1291	30
1292	29
1293	32
1294	36
1295	30
1296	29
1297	38
1298	38
1299	31
1300	45
1301	36
1302	33
1303	53
1304	36
1305	33
1306	40
1307	27
1308	40
1309	38
1310	36
1311	41
1312	46
1313	38
1314	35
1315	36
1316	42
1317	34
1318	39
1319	41
1320	41
1321	46
1322	37
1323	35
1324	33
1325	45
1326	46
1327	42
1328	41
1329	49
1330	40
1331	43
1332	40
1333	40
1334	51
1335	33
1336	42
1337	33
1338	39
1339	36
1340	35
1341	37
1342	42
1343	43
1344	44
1345	41
1346	38
1347	38
1348	44
1349	40
1350	40
1351	41
1352	44
1353	42
1354	48
1355	40
1356	41
1357	43
1358	39
1359	42
1360	41
1361	36
1362	37
1363	46
1364	33
1365	36
1366	44
1367	43
1368	35
1369	35
1370	40
1371	35
1372	37
1373	41
1374	37
1375	33
1376	34
1377	41
1378	36
1379	40
1380	28
1381	33
1382	32
1383	29
1384	32
1385	34
1386	30
1387	27
1388	33
1389	31
1390	38
1391	41
1392	29
1393	32
1394	29
1395	29
1396	33
1397	34
1398	28
1399	28
1400	39
1401	32
1402	33
1403	35
1404	31
1405	37
1406	33
1407	28
1408	37
1409	36
1410	34
1411	36
1412	34
1413	32
1414	30
1415	33
1416	35
1417	34
1418	39
1419	36
1420	29
1421	31
1422	37
1423	27
1424	38
1425	39
1426	31
1427	33
1428	39
1429	27
1430	36
1431	38
1432	34
1433	45
1434	36
1435	27
1436	39
1437	35
1438	31
1439	36
1440	39
1441	34
1442	33
1443	44
1444	37
1445	37
1446	34
1447	39
1448	33
1449	38
1450	32
1451	29
1452	33
1453	38
1454	38
1455	40
1456	38
1457	26
1458	31
1459	38
1460	30
1461	27
1462	30
1463	37
1464	44
1465	35
1466	31
1467	37
1468	28
1469	32
1470	38
1471	32
1472	28
1473	27
1474	32
1475	35
1476	29
1477	30
1478	38
1479	33
1480	29
1481	48
1482	32
1483	31
1484	37
1485	34
1486	35
1487	29
1488	28
1489	30
1490	29
1491	24
1492	28
1493	30
1494	28
1495	33
1496	30
1497	32
1498	30
1499	32
1500	32
1501	28
1502	31
1503	34
1504	32
1505	31
1506	30
1507	33
1508	34
1509	37
1510	23
1511	32
1512	26
1513	25
1514	30
1515	39
1516	32
1517	35
1518	28
1519	39
1520	30
1521	30
1522	31
1523	30
1524	30
1525	29
1526	29
1527	38
1528	35
1529	33
1530	29
1531	40
1532	34
1533	37
1534	39
1535	35
1536	41
1537	35
1538	37
1539	31
1540	36
1541	41
1542	35
1543	26
1544	30
1545	30
1546	24
1547	36
1548	42
1549	33
1550	36
1551	31
1552	35
1553	37
1554	40
1555	33
1556	41
1557	33
1558	28
1559	37
1560	28
1561	35
1562	34
1563	32
1564	37
1565	28
1566	28
1567	31
1568	35
1569	34
1570	33
1571	33
1572	31
1573	31
1574	22
1575	40
1576	41
1577	39
1578	31
1579	33
1580	38
1581	42
1582	32
1583	37
1584	39
1585	38
1586	35
1587	28
1588	37
1589	39
1590	34
1591	35
1592	35
1593	38
1594	35
1595	33
1596	41
1597	37
1598	43
1599	39
1600	38
1601	38
1602	42
1603	35
1604	33
1605	38
1606	40
1607	33
1608	42
1609	35
1610	29
1611	34
1612	39
1613	33
1614	30
1615	38
1616	34
1617	35
1618	31
1619	30
1620	32
1621	36
1622	33
1623	28
1624	35
1625	31
1626	25
1627	39
1628	27
1629	35
1630	34
1631	31
1632	38
1633	39
1634	40
1635	43
1636	39
1637	31
1638	32
1639	39
1640	35
1641	37
1642	34
1643	35
1644	31
1645	28
1646	38
1647	31
1648	33
1649	30
1650	31
1651	26
1652	31
1653	31
1654	35
1655	35
1656	32
1657	33
1658	32
1659	32
1660	38
1661	35
1662	40
1663	32
1664	29
1665	38
1666	27
1667	37
1668	26
1669	32
1670	46
1671	33
1672	36
1673	36
1674	33
1675	32
1676	32
1677	30
1678	32
1679	24
1680	33
1681	36
1682	33
1683	39
1684	30
1685	37
1686	32
1687	29
1688	34
1689	36
1690	33
1691	32
1692	31
1693	39
1694	35
1695	36
1696	28
1697	38
1698	32
1699	40
1700	36
1701	41
1702	31
1703	33
1704	36
1705	34
1706	30
1707	25
1708	33
1709	35
1710	34
1711	33
1712	34
1713	34
1714	36
1715	32
1716	34
1717	39
1718	26
1719	32
1720	33
1721	39
1722	39
1723	34
1724	34
1725	36
1726	31
1727	34
1728	34
1729	39
1730	34
1731	34
1732	35
1733	31
1734	31
1735	34
1736	41
1737	37
1738	41
1739	32
1740	40
1741	32
1742	36
1743	38
1744	29
1745	31
1746	33
1747	36
1748	38
1749	40
1750	35
1751	33
1752	31
1753	29
1754	31
1755	36
1756	33
1757	43
1758	33
1759	33
1760	38
1761	32
1762	41
1763	33
1764	43
1765	36
1766	36
1767	38
1768	31
1769	34
1770	34
1771	41
1772	35
1773	37
1774	29
1775	36
1776	38
1777	39
1778	38
1779	29
1780	31
1781	30
1782	36
1783	36
1784	32
1785	30
1786	35
1787	33
1788	31
1789	35
1790	35
1791	38
1792	32
1793	36
1794	28
1795	33
1796	35
1797	25
1798	35
1799	30
1800	38
1801	34
1802	38
1803	38
1804	48
1805	36
1806	35
1807	32
1808	36
1809	31
1810	38
1811	30
1812	33
1813	34
1814	40
1815	37
1816	34
1817	33
1818	36
1819	36
1820	39
1821	34
1822	34
1823	36
1824	30
1825	38
1826	35
1827	36
1828	37
1829	31
1830	34
1831	36
1832	39
1833	36
1834	33
1835	32
1836	40
1837	32
1838	40
1839	43
1840	36
1841	39
1842	42
1843	32
1844	37
1845	42
1846	45
1847	48
1848	41
1849	32
1850	37
1851	33
1852	40
1853	31
1854	35
1855	37
1856	24
1857	36
1858	36
1859	30
1860	32
1861	30
1862	41
1863	30
1864	35
1865	27
1866	30
1867	35
1868	34
1869	38
1870	37
1871	36
1872	34
1873	34
1874	39
1875	38
1876	39
1877	33
1878	25
1879	40
1880	31
1881	37
1882	33
1883	35
1884	27
1885	37
1886	37
1887	42
1888	35
1889	33
1890	37
1891	37
1892	33
1893	35
1894	35
1895	40
1896	34
1897	42
1898	33
1899	33
1900	34
1901	40
1902	35
1903	46
1904	36
1905	30
1906	31
1907	34
1908	36
1909	36
1910	34
1911	32
1912	41
1913	33
1914	37
1915	35
1916	31
1917	26
1918	31
1919	36
1920	41
1921	33
1922	27
1923	27
1924	33
1925	35
1926	29
1927	29
1928	38
1929	35
1930	29
1931	40
1932	42
1933	39
1934	34
1935	33
1936	36
1937	38
1938	27
1939	32
1940	32
1941	36
1942	35
1943	32
1944	30
1945	37
1946	31
1947	33
1948	31
1949	31
1950	39
1951	30
1952	37
1953	34
1954	29
1955	31
1956	27
1957	34
1958	24
1959	31
1960	29
1961	38
1962	34
1963	34
1964	30
1965	35
1966	33
1967	38
1968	40
1969	32
1970	36
1971	33
1972	41
1973	33
1974	36
1975	26
1976	31
1977	41
1978	46
1979	36
1980	36
1981	38
1982	37
1983	37
1984	33
1985	36
1986	29
1987	34
1988	39
1989	26
1990	27
1991	29
1992	32
1993	33
1994	35
1995	33
1996	31
1997	32
1998	28
1999	30
2000	22
2001	27
2002	29
2003	32
2004	35
2005	39
2006	35
2007	26
2008	37
2009	31
2010	23
2011	31
2012	32
2013	27
2014	25
2015	28
2016	31
2017	28
2018	30
2019	24
2020	27
2021	34
2022	28
2023	28
2024	29
2025	28
2026	32
2027	30
2028	23
2029	31
2030	26
2031	36
2032	29
2033	32
2034	25
2035	29
2036	27
2037	36
2038	30
2039	30
2040	23
2041	31
2042	30
2043	32
2044	29
2045	29
2046	31
2047	30
2048	33
2049	38
2050	33
2051	29
2052	32
2053	32
2054	40
2055	31
2056	33
2057	39
2058	39
2059	34
2060	42
2061	29
2062	33
2063	38
2064	26
2065	32
2066	34
2067	33
2068	24
2069	29
2070	36
2071	32
2072	28
2073	31
2074	27
2075	33
2076	23
2077	39
2078	35
2079	28
2080	32
2081	36
2082	37
2083	31
2084	28
2085	35
2086	22
2087	35
2088	40
2089	30
2090	37
2091	37
2092	34
2093	26
2094	32
2095	31
2096	30
2097	29
2098	38
2099	37
2100	30
2101	35
2102	32
2103	23
2104	30
2105	33
2106	34
2107	30
2108	29
2109	32
2110	28
2111	30
2112	29
2113	26
2114	21
2115	33
2116	23
2117	28
2118	32
2119	35
2120	29
2121	26
2122	29
2123	33
2124	22
2125	26
2126	29
2127	31
2128	28
2129	31
2130	33
2131	34
2132	28
2133	33
2134	30
2135	31
2136	32
2137	32
2138	36
2139	33
2140	29
2141	22
2142	28
2143	30
2144	24
2145	28
2146	27
2147	35
2148	24
2149	34
2150	33
2151	26
2152	24
2153	28
2154	27
2155	25
2156	23
2157	22
2158	30
2159	32
2160	20
2161	28
2162	25
2163	32
2164	29
2165	29
2166	25
2167	25
2168	33
2169	28
2170	27
2171	27
2172	30
2173	29
2174	33
2175	26
2176	26
2177	27
2178	25
2179	32
2180	33
2181	29
2182	23
2183	31
2184	26
2185	31
2186	35
2187	21
2188	32
2189	33
2190	28
2191	30
2192	28
2193	31
2194	31
2195	26
2196	28
2197	29
2198	34
2199	39
2200	33
2201	35
2202	34
2203	46
2204	34
2205	26
2206	40
2207	31
2208	28
2209	40
2210	37
2211	27
2212	30
2213	28
2214	30
2215	29
2216	26
2217	35
2218	34
2219	25
2220	28
2221	23
2222	33
2223	34
2224	30
2225	26
2226	29
2227	33
2228	29
2229	28
2230	26
2231	32
2232	34
2233	25
2234	33
2235	27
2236	31
2237	34
2238	27
2239	35
2240	34
2241	32
2242	32
2243	40
2244	37
2245	35
2246	31
2247	36
2248	47
2249	31
2250	35
2251	35
2252	42
2253	31
2254	35
2255	32
2256	27
2257	30
2258	30
2259	38
2260	35
2261	34
2262	36
2263	37
2264	35
2265	23
2266	32
2267	30
2268	29
2269	40
2270	31
2271	29
2272	34
2273	34
2274	34
2275	42
2276	31
2277	39
2278	34
2279	43
2280	38
2281	28
2282	35
2283	28
2284	37
2285	40
2286	37
2287	35
2288	28
2289	33
2290	34
2291	33
2292	38
2293	32
2294	36
2295	35
2296	40
2297	36
2298	39
2299	41
2300	33
2301	36
2302	43
2303	45
2304	38
2305	38
2306	39
2307	35
2308	43
2309	44
2310	38
2311	40
2312	41
2313	26
2314	31
2315	31
2316	36
2317	33
2318	38
2319	34
2320	30
2321	33
2322	34
2323	22
2324	34
2325	29
2326	43
2327	32
2328	38
2329	31
2330	40
2331	28
2332	38
2333	32
2334	29
2335	36
2336	26
2337	40
2338	25
2339	36
2340	31
2341	39
2342	39
2343	37
2344	40
2345	32
2346	30
2347	36
2348	30
2349	26
2350	29
2351	32
2352	39
2353	32
2354	26
2355	37
2356	31
2357	35
2358	31
2359	32
2360	40
2361	38
2362	36
2363	37
2364	32
2365	34
2366	30
2367	38
2368	34
2369	36
2370	38
2371	27
2372	34
2373	30
2374	38
2375	26
2376	28
2377	37
2378	35
2379	34
2380	33
2381	36
2382	35
2383	31
2384	29
2385	39
2386	34
2387	30
2388	30
2389	25
2390	33
2391	38
2392	31
2393	30
2394	27
2395	31
2396	34
2397	36
2398	39
2399	33
2400	31
2401	29
2402	40
2403	34
2404	33
2405	36
2406	36
2407	39
2408	37
2409	39
2410	35
2411	47
2412	31
2413	43
2414	37
2415	42
2416	35
2417	37
2418	38
2419	31
2420	32
2421	33
2422	33
2423	32
2424	32
2425	35
2426	30
2427	38
2428	39
2429	35
2430	33
2431	36
2432	29
2433	33
2434	39
2435	36
2436	35
2437	25
2438	29
2439	30
2440	25
2441	29
2442	24
2443	39
2444	39
2445	34
2446	35
2447	32
2448	36
2449	33
2450	33
2451	33
2452	30
2453	37
2454	31
2455	32
2456	39
2457	42
2458	34
2459	30
2460	32
2461	41
2462	34
2463	38
2464	39
2465	37
2466	38
2467	31
2468	31
2469	29
2470	35
2471	34
2472	29
2473	32
2474	35
2475	37
2476	38
2477	37
2478	40
2479	31
2480	37
2481	33
2482	33
2483	37
2484	33
2485	33
2486	39
2487	29
2488	31
2489	36
2490	27
2491	34
2492	39
2493	44
2494	40
2495	35
2496	35
2497	33
2498	35
2499	33
2500	32
2501	43
2502	37
2503	37
2504	37
2505	31
2506	36
2507	41
2508	38
2509	30
2510	39
2511	32
2512	34
2513	33
2514	35
2515	34
2516	41
2517	33
2518	30
2519	41
2520	34
2521	35
2522	35
2523	35
2524	28
2525	37
2526	36
2527	37
2528	39
2529	38
2530	29
2531	32
2532	44
2533	38
2534	36
2535	38
2536	44
2537	34
2538	38
2539	38
2540	31
2541	37
2542	34
2543	31
2544	36
2545	44
2546	40
2547	36
2548	28
2549	37
2550	34
2551	41
2552	33
2553	37
2554	37
2555	43
2556	37
2557	32
2558	33
2559	42
2560	37
2561	37
2562	34
2563	35
2564	39
2565	33
2566	40
2567	39
2568	32
2569	36
2570	33
2571	38
2572	38
2573	34
2574	35
2575	42
2576	35
2577	32
2578	26
2579	43
2580	36
2581	27
2582	35
2583	36
2584	37
2585	30
2586	39
2587	40
2588	34
2589	38
2590	44
2591	40
2592	40
2593	32
2594	34
2595	36
2596	38
2597	37
2598	32
2599	32
2600	34
2601	27
2602	42
2603	48
2604	38
2605	31
2606	31
