frame	intra_count
0	0
1	0
2	0
3	0
4	1
5	0
6	0
7	0
8	1
9	0
10	0
11	0
12	3
13	1
14	0
15	1
16	0
17	0
18	2
19	1
20	1
21	3
22	1
23	2
24	0
25	3
26	2
27	1
28	3
29	1
30	1
31	1
32	3
33	0
34	0
35	0
36	0
37	1
38	1
39	1
40	1
41	1
42	2
43	3
44	2
45	2
46	2
47	3
48	2
49	2
50	1
51	2
52	3
53	1
54	1
55	1
56	2
57	2
58	1
59	1
60	2
61	1
62	3
63	1
64	1
65	1
66	0
67	0
68	0
69	2
70	0
71	2
72	1
73	4
74	4
75	4
76	2
77	4
78	2
79	3
80	3
81	2
82	2
83	2
84	1
85	0
86	3
87	4
88	2
89	1
90	1
91	2
92	1
93	2
94	1
95	2
96	1
97	1
98	1
99	1
100	0
101	0
102	0
103	1
104	2
105	1
106	1
107	1
108	1
109	1
110	1
111	0
112	1
113	2
114	1
115	1
116	0
117	2
118	3
119	2
120	0
121	1
122	1
123	0
124	1
125	3
126	3
127	1
128	1
129	0
130	2
131	1
132	1
133	1
134	2
135	1
136	1
137	1
138	4
139	2
140	1
141	2
142	4
143	3
144	1
145	2
146	1
147	1
148	2
149	1
150	2
151	2
152	4
153	2
154	3
155	2
156	0
157	2
158	1
159	1
160	2
161	1
162	3
163	3
164	1
165	1
166	2
167	2
168	2
169	2
170	1
171	2
172	2
173	3
174	0
175	2
176	2
177	2
178	2
179	3
180	1
181	1
182	2
183	3
184	3
185	4
186	0
187	2
188	2
189	0
190	0
191	1
192	1
193	1
194	0
195	2
196	2
197	5
198	3
199	2
200	3
201	1
202	2
203	2
204	3
205	1
206	1
207	1
208	2
209	2
210	1
211	2
212	2
213	1
214	2
215	2
216	2
217	2
218	2
219	2
220	4
221	2
222	1
223	2
224	2
225	2
226	2
227	3
228	1
229	1
230	1
231	1
232	1
233	1
234	0
235	1
236	0
237	0
238	1
239	1
240	3
241	0
242	0
243	1
244	0
245	3
246	0
247	0
248	2
249	1
250	1
251	2
252	0
253	2
254	1
255	1
256	3
257	0
258	1
259	2
260	2
261	2
262	2
263	2
264	0
265	4
266	2
267	3
268	5
269	1
270	1
271	2
272	3
273	2
274	2
275	3
276	1
277	2
278	1
279	2
280	3
281	5
282	2
283	7
284	5
285	4
286	4
287	4
288	4
289	4
290	5
291	5
292	2
293	3
294	3
295	1
296	1
297	2
298	2
299	2
300	1
301	1
302	2
303	2
304	3
305	4
306	1
307	3
308	2
309	3
310	2
311	1
312	0
313	1
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	1
322	1
323	1
324	0
325	2
326	3
327	1
328	1
329	0
330	0
331	0
332	0
333	1
334	0
335	0
336	0
337	0
338	1
339	0
340	1
341	0
342	1
343	3
344	1
345	2
346	0
347	0
348	0
349	1
350	1
351	0
352	1
353	0
354	1
355	0
356	0
357	0
358	1
359	3
360	1
361	3
362	1
363	3
364	2
365	2
366	2
367	3
368	2
369	3
370	1
371	0
372	1
373	2
374	2
375	1
376	2
377	0
378	0
379	2
380	1
381	3
382	1
383	1
384	0
385	0
386	1
387	1
388	1
389	1
390	2
391	2
392	3
393	3
394	3
395	2
396	2
397	3
398	3
399	2
400	2
401	1
402	1
403	1
404	1
405	1
406	2
407	1
408	1
409	1
410	3
411	0
412	4
413	2
414	1
415	2
416	1
417	2
418	4
419	1
420	2
421	2
422	0
423	1
424	2
425	2
426	4
427	2
428	2
429	1
430	0
431	1
432	1
433	0
434	0
435	1
436	1
437	2
438	0
439	0
440	1
441	3
442	1
443	1
444	2
445	1
446	4
447	1
448	2
449	3
450	1
451	2
452	2
453	2
454	4
455	1
456	1
457	2
458	2
459	2
460	4
461	4
462	3
463	2
464	5
465	3
466	4
467	4
468	3
469	3
470	2
471	2
472	5
473	4
474	3
475	3
476	4
477	2
478	6
479	4
480	4
481	4
482	3
483	3
484	3
485	1
486	2
487	5
488	4
489	5
490	3
491	4
492	4
493	3
494	6
495	5
496	1
497	2
498	3
499	4
500	1
501	4
502	3
503	2
504	5
505	3
506	4
507	2
508	4
509	3
510	3
511	2
512	3
513	4
514	3
515	3
516	5
517	1
518	4
519	1
520	3
521	2
522	1
523	0
524	2
525	2
526	2
527	2
528	1
529	0
530	3
531	0
532	1
533	1
534	3
535	2
536	1
537	1
538	0
539	1
540	2
541	1
542	1
543	1
544	1
545	2
546	2
547	3
548	2
549	2
