intra_count  HB_00001[UU]
0  0
0  0
2  0
0  1
1  1
0  1
0  0
0  0
0  0
1  0
0  1
0  1
0  0
0  0
0  3
0  2
0  3
0  2
0  1
0  1
0  1
0  0
0  2
1  1
0  0
0  1
0  1
1  1
0  2
0  1
0  2
1  2
0  1
1  1
0  0
1  0
0  1
0  0
0  1
0  1
0  1
0  1
0  0
0  1
0  1
0  1
0  1
1  0
0  0
0  1
0  0
0  0
0  0
0  0
0  3
0  2
0  2
0  1
0  2
0  2
0  2
0  1
0  2
1  0
0  1
0  1
0  3
0  1
0  3
0  3
0  3
0  2
0  2
0  1
0  4
0  3
0  5
0  2
0  3
0  2
0  3
0  3
0  4
0  4
0  2
0  3
0  3
0  2
0  3
0  2
0  3
0  1
0  2
0  1
0  2
0  4
0  2
0  2
0  4
0  3
0  1
0  3
0  2
0  1
0  2
0  1
0  1
0  3
0  2
0  3
0  3
0  1
2  2
0  3
0  1
0  3
0  2
0  2
0  2
2  2
0  1
0  1
2  1
1  2
2  1
1  1
0  1
0  3
0  0
0  1
0  2
0  2
0  2
0  4
0  1
0  3
0  3
0  4
0  2
0  2
0  1
1  1
0  1
0  1
0  0
0  1
0  2
0  1
0  2
0  2
0  1
0  1
0  0
0  1
0  0
0  1
0  1
0  1
0  1
0  3
0  2
0  3
0  3
0  2
0  3
0  2
0  3
0  0
0  3
0  4
0  2
0  2
0  2
0  4
0  4
0  5
0  5
0  7
0  5
0  4
0  6
0  5
0  3
0  3
0  2
1  4
2  5
1  5
1  1
0  7
0  5
0  5
0  4
0  3
0  4
0  2
0  4
0  3
0  3
0  1
0  8
0  8
0  8
0  9
0  9
0  5
0  8
0  9
0  10
0  10
0  7
0  11
0  9
0  6
0  10
1  6
0  12
0  7
0  11
0  6
0  8
0  8
0  5
0  4
0  11
0  8
0  11
0  9
0  9
0  9
0  10
0  9
0  10
0  12
0  6
0  12
0  11
0  12
0  10
0  14
0  12
0  9
0  11
0  9
0  9
0  8
0  10
0  9
0  12
0  11
0  16
0  9
0  11
0  11
0  12
0  5
0  10
0  7
0  10
0  8
0  13
0  9
0  12
0  15
0  7
0  7
0  8
0  5
0  5
0  8
0  6
0  10
0  3
0  5
0  7
0  9
0  8
0  9
0  8
0  7
0  5
0  5
0  3
0  6
0  6
0  2
0  6
0  6
0  2
0  9
0  6
0  9
0  11
0  6
0  9
0  11
0  9
0  6
0  8
0  9
0  10
0  6
0  5
0  5
0  7
0  8
0  8
0  8
0  6
0  6
0  7
0  5
0  5
0  6
0  5
0  6
0  7
0  10
0  6
0  8
0  6
0  2
0  5
0  3
0  1
0  2
0  2
0  2
0  0
0  1
0  2
0  3
0  6
0  6
0  3
0  7
0  4
0  5
0  4
0  4
0  7
0  7
0  5
0  6
0  8
0  7
1  8
0  3
0  10
0  9
0  9
0  5
0  9
0  5
0  6
0  6
0  5
0  6
0  9
0  4
0  4
0  5
0  5
1  3
0  5
0  6
0  7
0  6
0  3
0  4
0  6
0  2
0  6
0  7
0  4
0  4
0  4
0  7
0  6
0  6
0  6
0  6
0  9
0  4
0  4
0  6
0  8
0  6
0  7
0  5
0  6
0  7
0  4
0  5
0  3
0  6
0  3
0  2
0  2
0  5
0  4
0  7
0  4
0  5
0  3
0  3
0  2
0  4
0  2
0  3
0  5
0  4
0  3
0  3
0  4
0  6
0  3
0  2
0  2
0  2
0  1
0  5
0  4
0  4
0  5
0  6
0  3
0  7
0  3
0  7
0  8
0  5
0  7
0  9
1  6
0  6
0  6
0  8
0  7
0  3
0  5
0  6
0  6
0  4
0  4
1  4
0  4
0  6
0  2
0  3
0  6
1  4
1  3
0  5
0  4
1  3
0  3
0  4
0  6
0  5
1  5
0  8
0  5
0  6
0  2
0  4
0  5
0  5
0  3
0  5
0  5
0  5
0  2
0  4
1  5
0  5
0  3
0  6
0  5
0  4
0  5
0  7
0  6
0  6
0  5
0  4
0  6
0  7
0  5
0  7
0  1
0  4
0  5
0  4
0  5
0  3
0  3
0  4
0  5
1  6
0  7
0  5
