intra_count  HB_00001[UU]
0  1
0  1
0  2
0  4
0  0
0  1
0  2
0  3
0  6
0  2
0  2
0  3
0  4
1  4
0  3
0  5
0  7
0  4
0  4
0  4
0  0
0  2
0  2
0  4
0  3
0  3
1  4
0  4
0  1
0  4
1  3
0  2
0  4
0  6
0  5
0  2
0  2
1  4
2  3
1  3
1  5
0  3
0  3
1  6
0  1
0  1
0  2
0  5
0  7
0  6
0  7
1  4
0  6
1  6
0  3
0  3
0  4
0  7
0  6
1  3
0  5
0  8
0  2
0  7
0  4
0  3
0  9
0  3
0  6
0  6
0  6
1  11
0  3
1  6
0  4
1  7
0  8
0  5
0  5
1  8
1  6
1  7
0  6
0  5
0  6
0  6
0  8
0  8
1  5
0  8
0  8
0  5
0  5
0  7
0  5
0  5
0  7
0  2
0  1
0  5
0  4
0  5
1  5
0  4
0  7
0  7
0  5
0  6
0  5
0  3
0  8
0  8
0  7
1  6
0  4
0  3
0  4
0  4
0  6
0  4
0  8
0  5
0  6
0  8
0  5
0  7
1  7
0  5
0  5
0  2
0  12
0  7
0  7
0  8
0  6
0  6
0  7
0  8
0  7
0  4
0  7
0  9
1  7
0  9
0  7
0  6
0  5
0  5
0  6
0  7
0  6
0  7
0  7
0  9
0  9
0  6
0  5
1  12
0  10
0  13
0  8
0  6
0  6
0  5
0  12
1  10
0  8
0  7
0  9
0  9
0  8
0  10
0  7
0  8
0  9
0  5
1  9
0  9
0  7
0  9
0  9
0  7
0  10
0  9
0  13
0  9
0  7
0  12
0  5
0  6
0  7
0  9
0  8
0  9
0  6
0  11
0  6
0  14
0  11
0  9
0  7
0  5
1  8
0  10
0  7
0  10
0  6
0  6
0  4
0  6
0  4
0  4
1  4
1  6
1  3
2  7
2  6
1  7
1  7
2  6
0  5
1  7
1  5
0  8
0  4
0  3
1  6
1  5
0  3
0  3
1  6
0  3
0  4
0  3
1  4
1  5
1  4
0  3
0  2
1  2
0  3
0  4
0  1
0  4
0  3
0  4
0  9
0  4
2  3
1  4
1  8
3  5
1  8
3  6
2  2
1  5
0  2
2  3
1  5
1  3
0  5
0  2
2  5
0  3
0  4
2  3
0  4
0  2
1  5
0  2
0  2
1  1
0  3
0  5
0  5
1  0
0  6
1  4
3  4
0  4
0  5
1  1
0  4
0  4
1  4
0  4
0  5
0  2
1  3
0  4
0  9
0  5
0  3
1  5
1  8
0  6
1  7
1  4
0  4
0  5
1  7
1  4
2  9
2  6
2  3
0  3
2  3
3  2
4  2
2  1
4  4
2  3
3  4
3  6
1  3
1  10
2  7
2  8
2  6
2  8
1  4
3  4
4  6
2  6
5  6
1  4
1  5
2  10
5  7
3  8
0  7
0  7
0  9
1  6
0  6
1  3
3  6
2  6
1  7
1  8
1  6
1  8
1  4
1  7
2  7
0  9
2  6
1  4
1  9
3  6
2  6
0  6
1  5
0  4
0  8
0  4
1  4
2  7
1  10
2  6
0  12
1  4
0  7
1  7
1  6
0  5
0  8
1  6
1  5
1  5
1  4
0  9
1  8
0  5
0  6
0  5
1  3
0  3
2  6
0  5
1  8
0  6
0  3
0  5
0  6
0  9
1  7
0  4
0  8
0  7
1  7
1  7
1  8
0  6
0  7
1  8
0  9
0  8
0  5
0  9
0  7
0  8
0  8
0  10
0  8
0  10
0  10
0  8
0  9
0  8
0  11
0  8
0  8
0  4
0  6
0  7
0  5
0  7
0  7
0  7
0  8
0  5
0  9
0  6
0  8
0  7
0  6
1  9
1  5
1  11
2  8
0  10
1  9
1  10
1  10
0  10
0  9
1  11
0  11
0  10
0  8
0  9
0  11
0  10
0  10
0  7
0  13
1  6
0  7
0  10
1  10
0  7
1  8
1  9
0  8
0  12
1  9
1  8
2  10
1  6
0  6
0  6
0  7
0  6
0  6
0  7
0  5
0  9
0  9
0  7
1  5
2  8
1  4
1  7
0  7
3  7
0  4
0  6
0  4
0  5
0  6
0  3
0  8
0  5
0  7
0  5
1  6
0  7
0  3
0  9
0  7
0  3
0  5
0  1
0  4
0  5
0  3
1  6
1  3
0  5
0  6
1  4
0  4
0  6
0  6
0  6
0  6
0  6
0  7
0  6
1  5
1  6
0  8
0  8
0  4
0  7
1  6
1  7
0  8
2  3
0  5
1  9
1  9
1  9
1  5
0  5
0  3
0  5
0  4
0  8
0  8
0  6
0  6
2  4
1  7
1  4
0  10
0  9
0  8
0  5
1  11
1  6
0  12
0  7
0  8
0  5
0  6
0  8
0  9
0  11
